Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_studio,spark,aws,excel
Data Scientist,"$110K-$182K
(Glassdoor est.)","Data Scientist


JOB DESCRIPTION

Looking for an exceptional Data Scientist to join our team developing a disruptive enterprise-grade cloud-native software platform to industrialize building machine learning models. Through the platform, everyone, with or without a deep understanding of machine learning, will be able to deliver high-quality production-level models through a few mouse clicks within minutes. You will be able to learn about cloud-native software development, keep up to date with the latest data science technologies, research and build customized machine learning models, and add significant value to our product and customers.

MUST HAVE QUALIFICATIONS:
Excellent understanding of statistics, machine learning, and deep learning algorithms.
Excellent python programmer.
Familiar with available data science libraries/packages/APIs (e.g. NumPy, scikit-learn, PyTorch, TensorFlow, Theano, etc.).
BSc (MSs recommended) with GPA >= 3.5 in Computer Science, Mathematics, or related fields.
Bonus! having an engineering degree/background and/or cloud/AWS experience or knowledge.
Able to understand various data structures and common methods in data transformation.
A skilled and creative team player also able to work independently in a dynamic environment.
RESPONSIBILITIES
Add new machine learning or data transformation capabilities to our cloud-native product.
Collaborate with product management and engineering department to understand the requirements.
Research and develop customized machine learning models for specific problems.
Communicate results and ideas to key decision-makers and customers.
TECHNOLOGIES WE LOVE
Python, JavaScript, GitHub, Slack, Jira, MySQL, MongoDB, AWS Lambda, Node.js, React, MATLAB, Spotfire.
Recommended: share your GitHub profile with us and/or share a demo of recent project work.
WHAT WE VALUE
You are excited to work with others in complex and dynamic systems environments.
You have a constant desire to grow and develop, to learn the cutting edge of new technology.
You thrive in a fast-paced environment.
You care about great design, in your code and technical architecture.
You are comfortable with both large-scale and iterative development styles.
You enjoy working with others but are also an independent programmer.",3.9,"Quantum Reservoir Impact
3.9","Houston, TX",-1,51 to 200 Employees,2007,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$25 to $50 million (USD),-1,0,0,110,182,146.0,"Quantum Reservoir Impact
", TX,0,13,1,0,0,1,1
Data Analyst,"$46K-$65K
(Glassdoor est.)","For more than a decade, Asembia has been working with specialty pharmacies, manufacturers, prescribers, payers and other industry stakeholders to develop solutions for the high-touch specialty pharmaceutical service model.Through collaborative programs, contracting initiatives, patient support hub services and innovative technology platforms, Asembia is committed to positively impacting the patient journey.

Asembia focuses on the specialty pharmacy segment and offers comprehensive hub services, pharmacy network management, group purchasing (GPO) services, innovative technology platforms and more.As a leading industry voice and advocate, Asembia is committed to bringing strategic channel management solutions, leading-edge products and high-touch services to the specialty pharmacy industry that help our customers optimize patient care and outcomes.

Primary Function:

The Technical Analystis responsible for implementing data solutions for varied data reporting needs and act as a Subject Matter Expert (SME) for technical data product offerings.

Job Scope and Major Responsibilities:

·Follow all policies and internal processes to ensure data programs and files are delivered in accordance with the provisions of the Health Insurance Portability and Accountability Act of 1996 and its implementing regulations, as amended (“HIPAA”).

·Design, develop and validate data reporting solutions with minimum supervision

·Evaluate data and report findings for accuracy, completeness, per the data specifications.

·Responsible for monitoring file/data receipt per expected schedules. Identify/escalate/ resolve nonconformances.

·Meet data reporting schedules to external stakeholders/ parties for designated data programs.

·Seek and adopt best practices in data reporting, make recommendations for data processing improvements. Identify opportunities to improve the process and data accuracy.

·Provide ad hoc data analysis to internal and external parties as requested.

· Successful collaboration with other Asembia team members to attain a common goal.

Qualifications:

·Bachelor’s Degree required. B.A./B.S. Information Systems or similar field preferred.

·Minimum 1 to 3 years of experience working in data analytics or Software Quality assurance – preference towards Prescription / pharmaceutical data.

·Must have a working knowledge of SQL.

·Advance level skills in developing solutions using SQL and SSIS preferred, not required.

·Must be detail oriented with the ability focus on complex processing steps.

·Proven track record with taking ownership in data analytics or Software QA analysis.

·Ability to manage multiple initiatives in a fast paced, dynamic environment.

·Strong self-starter with a sense of ownership.

·Excellent organizational and collaboration skills.

Asembia is committed to Equal Employment Opportunity (EEO) and to compliance with all Federal, State and local laws that prohibit employment discrimination on the basis of race, color, age, natural origin, ethnicity, religion, gender, pregnancy, marital status, sexual orientation, gender identity and expression, citizenship, genetic disposition, disability or veteran's status or any other classification protected by State/Federal laws.",3.5,"Asembia, LLC.
3.5","Florham Park, NJ",-1,501 to 1000 Employees,2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1,0,0,46,65,55.5,"Asembia, LLC.
", NJ,0,16,0,0,0,1,1
Senior Data Scientist,"$86K-$137K
(Glassdoor est.)","GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.

Expected Qualifications:

Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc.
4 years of experience in designing, developing, evaluating, and deploying predictive modeling, machine learning, advanced analytics
Deep understanding and experience with advanced statistics and modern machine learning predictive techniques, including GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, and graph analytics.
Superior coding skills using common data science tools, including Python (strongly preferred), R, Linux/Unix command line and shell scripting.
Excellent skill and significant experience in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Strong experience with distributed storage and big data computing technology, such as AWS, Hadoop, or Spark
Excellent communication skills and experience in working with stakeholders
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

About GEICO
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.

#LI-JW1

#DI-JW",3.3,"Government Employees Insurance Company
3.3","Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,86,137,111.5,"Government Employees Insurance Company
", MD,0,84,1,0,1,1,1
Data Scientist,"Employer Provided Salary:
$80K-$120K","About ClearCut Analytics
ClearCut was founded in Chicago with the mission of revolutionizing strategic decision-making by the world's leading brands through data-powered business intelligence. With a focus on the Amazon marketplace, ClearCut provides a vast array of sales analytics to equip brands with the information they need to maximize their value.


Data Scientist Job Description
ClearCut Analytics is looking for an innovative, solutions-oriented Data Scientist to join our fast-paced company and growing Analytics & Product Development team. The Data Scientist will play a key role in our company’s growth through building a highly scalable infrastructure that allows our team to develop data-driven solutions to solve complex business challenges. The ideal candidate is passionate about technology, loves collaborating to solve a wide variety of challenges and interesting use cases. This role will report to ClearCut’s Chief Technology Officer.
Responsibilities
Helping to build and drive the Data Science and Analytics roadmap
Leveraging data to drive business solutions for clients that are presented through ClearCut’s SaaS platform
Performing data collection, as well as developing custom models and algorithms to apply to data sets
Using predictive modeling to increase and optimize business operations, customer experience, revenue generation, and other business outcomes
Processing, cleansing, and verifying the integrity of data used for modeling and analysis, while enhancing processes and tools used to monitor model performance and input data
Developing machine learning models and productizing AI-based solutions alongside product and development team
Ideating new data-related concepts and applications then overseeing projects through deployment
Taking end-to-end ownership of problem domains and continuously improving upon quantitative solutions
Requirements
MS or Bachelor’s Degree in Mathematics, Statistics, CS/Engineering, or similar field
4+ years of professional experience in an analytics and data science environment utilizing quantitative analytics methodologies, experience in a SaaS or eCommerce environment a plus
Experience writing programs/queries with data analysis tools and languages such as Python, R, SAS, AMPL, SQL, or Alteryx
Hands-on experience with multivariate analytic techniques: linear and logistic regression, decision tree, cluster and factor analysis, time-series forecasting methods, SVM models, and/or neural networks
Understanding of broad business principles and the ability to create solutions for real-world challenges
Ability to thrive in a fast-paced, entrepreneurial environment
Eagerness to learn and grow",5.0,"ClearCut Analytics
5.0","Chicago, IL",-1,1 to 50 Employees,2016,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,0,1,80,120,100.0,"ClearCut Analytics
", IL,0,4,1,0,0,0,0
"Data Scientist - Statistics, Early Career","$68K-$111K
(Glassdoor est.)","*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"Pacific Northwest National Laboratory
3.8","Seattle, WA",-1,1001 to 5000 Employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),-1,0,0,68,111,89.5,"Pacific Northwest National Laboratory
", WA,0,55,0,0,0,0,1
"Data Scientist, Health Economics & Advanced Analytics","$81K-$134K
(Glassdoor est.)","Overview


Avalere Health is seeking a Data Scientist to join our Health Economics & Advanced Analytics (HEAA) Practice. The HEAA practice works with life sciences companies and other healthcare sectors to quantify and communicate the real-world value of healthcare interventions and to align our clients’ business strategies with the evidentiary demands of an increasingly value-driven marketplace. We are driven by deep subject matter expertise, differentiated and proprietary real-world data assets, and an emphasis on sound business strategy coupled with rigorous research and advanced analytic capabilities. The data scientist will serve at the Research Scientist II level and lead and participate in the conceptualization, execution, and delivery of analyses in health economics, comparative effectiveness, performance measure development and testing, outcomes research, and epidemiology.

Responsibilities

Principal Duties and Responsibilities:


Lend deep statistical, epidemiological, and/or econometric expertise to the development of proposals, statements of work, and study protocols/statistical analysis plans
Perform descriptive and advanced statistical analyses using large patient and/or claims databases in support of data mining, predictive modeling, and health outcomes research projects
Develop and author study reports, scientific publications, conference abstracts, and posters
Independently manage workflow and make direct contributions to the research process
Collaborate with cross-functional project teams (project leads, project managers, programmers, research assistants, etc.) to support exceptional execution for clients
Support the growth and development of junior staff focused on related areas
Qualifications

Skills, Experience, and Other Job Related Requirements:


Minimum Requirements:
MA/MS or PhD in epidemiology, data science, health economics, health policy, pharmacy administration, public health, statistics, or related discipline
5+ years of consulting, healthcare, or pharmaceutical/device industry experience
Broad technical knowledge of computational science, including applied statistics, econometrics, predictive modeling, and/or AI/machine learning theory and methods
Proficiency designing and executing observational/outcomes research studies using large administrative medical and pharmacy claims, EMR, and other data derived from various public and private databases
5+ years of experience using statistical software packages such as SAS, R, Python, and/or STATA
3+ years of SQL programming experience
Knowledge of advanced analytics, AI/machine learning theory and methods, and/or econometrics
Experience presenting research results at scientific conferences and/or a record of peer-reviewed publications
Additional Skills and Competencies:
Consulting background preferred
Excellent writing, project management, communication, and presentation skills
Ability to independently manage multiple work streams with limited supervision
Demonstrated problem solving, analytical reasoning, and decision-making skills and strong commitment to meeting goals and deadlines
Excellent teamwork skills and ability to work in a fast-paced, multi-disciplinary environment
Self-motivated with a positive, flexible attitude",3.2,"Avalere Health LLC
3.2","Washington, DC",-1,201 to 500 Employees,2000,Company - Public,Consulting,Business Services,Less than $1 million (USD),-1,0,0,81,134,107.5,"Avalere Health LLC
", DC,0,20,1,0,0,0,1
Data Analyst/Programmer,"$49K-$89K
(Glassdoor est.)","Data Analyst/Programmer


Woodland Hills

Position Overview

Apollo Insurance Solutions Group seeks a Data Analyst/Programmer for its Woodland Hills, CA office. This is a new position being added to our Quantitative Development team. The Quantitative Development team maintains proprietary mortgage investment risk models used for financial reporting, risk measurement, pricing and strategic business decisions.

Primary Responsibilities

Tape cracking:
Field transformation
Data examination
Run the cracked tape through the system
Communicate with the traders on the assumptions
Update tapes once new data available
Maintain and research on the old runs
Ad hoc analysis
Development new applications and maintain the existing ones

Qualifications & Experience

Minimum Bachelor’s degree, ideally an advanced degree, in a Quantitative background (statistics, machine learning, quantitative finance, financial mathematics, computer science, econometrics, physics, mathematics)
Experience working with data processing language, Python is preferred
Experience working with basic tools such as SQL, Excel, etc.
Strong programming skills preferred
Knowledge of finance, capital markets
Detail oriented
Strong communication skills, both written and verbal
Ability to work in a fast-paced environment, under pressure and deliver on time",3.2,"Apollo Global Management, LLC
3.2","Woodland Hills, UT",-1,1001 to 5000 Employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),-1,0,0,49,89,69.0,"Apollo Global Management, LLC
", UT,0,30,1,0,0,0,1
Scientist,"$29K-$65K
(Glassdoor est.)","Join us as we Rise to the Challenge
At KCI, we’re building an enduring company that provides unparalleled value to our employee-owners. We make our mark designing and delivering our world-class solutions, so we invest deeply in developing our team. We reward integrity and commitment, and when we do well, you do well. Our people have freedom to innovate, unlimited growth, a voice that matters, a lifestyle that works, and skin in the game. Because life’s more fun when you own it.
THE COMPANY
KCI Technologies, Inc. is a 100% employee-owned engineering, consulting and construction firm serving clients throughout the United States. KCI is recognized as an industry leader, employing cutting-edge technologies, management practices and strategic growth initiatives. Employee ownership fosters an entrepreneurial spirit, encourages technical expertise, and shapes strategic planning.

Selected candidate will provide environmental regulatory compliance consulting support under a contract with a major regional transit client. In particular, selected candidate will provide technical support to ensure compliance with federal, state and local air quality regulations. Specific air quality compliance consulting duties may include:
Review and evaluate chemical product SDS sheets and information to determine VOC compliance
Assist with air emissions inventories and compliance reporting
Prepare semi-annual reports and annual certification for Title V air permit
Evaluate new facilities or renovated facilities for permit applicability

Bachelor of Science or Master of Science in Natural or Environmental or related field.
Minimum of 2 - 4 years of professional experience.
Pre-employment drug screening is a condition of employment. Background and motor vehicle checks may be required based upon position.

Complete Annual Individual Training Program
Train adequate backup personnel to support your role in your absence
Attend meetings with clients as required
Comply with all KCI policies and procedures
Ensure projects fulfill ISO compliance requirements
Complete other duties as required/assigned
Assist with preparation of proposals and qualifications in repsonse to RFPs and RFQs
Achieve or exceed budgeted individual utilization target(85% typical)
Attend bi-weekly(or more frequently as necessary) meetings with project team on all projects/tasks
Complete all tasks on time and within budget while fully meeting the scope
Operate within specified (corporate or project) budget parameters
Assess and document potential project impacts
Collect required field data using proper protocols and techniques
Lead field surveys
Lead the development of and assemble organized, clear, and cohesive technical reports
Prepare avoidance or minimization recommendations
Prepare mitigation strategy and plan as required
Process field data for inclusion in reports and deliverables
Review and interpret lab results
KCI Technologies, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.",3.6,"KCI Technologies Inc.
3.6","Sparks, MD",-1,1001 to 5000 Employees,1988,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD),-1,0,0,29,65,47.0,"KCI Technologies Inc.
", MD,0,32,0,0,0,0,0
Lead Data Scientist,"$80K-$94K
(Glassdoor est.)","Position: Lead Data Scientist

Location: Cincinnati, OH

Full-time, exempt

Join the PatientPoint Business Intelligence & Data Science team in our new Kenwood Cincinnati headquarters office space. Work for a growing entrepreneurial organization where you can apply your critical thinking skills and your ideas and suggestions are valued. Be a part of a team that implements emerging technology and applies the latest quantitative methods to solve complex problems.

What you will be doing

Far beyond just executing analysis, this key role collaborates, designs and creates statistical models and case study designs that fundamentally change the way we do business. See your greatest works appear in downstream dashboards, mission critical predictive models and processes that are based on successful machine learning.

Work on a team with data engineers that will build data ingestion & transformation processes to support your industry leading data science applications in predictive modeling and machine learning deployments. Design, create and deploy analytics solutions leveraging billions of log records from digital interactive touchscreen devices.

This position offers you a great opportunity to help build out an entire data science roadmap with the flexibility and the responsibility to develop accurate and reliable data products. This person plays an important role in selecting statistical methodologies and therefore must have a passion for staying current on the newest developments in the data science space.

As a data scientist, you will apply your critical thinking skills to understand and, sometimes, reframe high level business questions, prototype new ideas, run experiments, and iterate to better design data driven solutions to business problems. On other projects you might create advanced data queries and scripts for creating useful model features - including leveraging data from multiple external APIs.

There are opportunities to lead client-facing presentations, communication, and overall project ownership. Moreover, there are opportunities for data science thought leadership to lead the data science strategy and execution for large programs.

Plus, there will be minimal travel, we have a new office space, you will have career growth opportunities, you will get interesting projects and can enjoy free coffee!

What you need to be successful

A college degree and several years of work experience. Your experience should include direct hands-on work using analytics to establish and change business policy. MS degree preferred in applied statistics, computer science or engineering.

You must have strong statistical modeling skills. The ideal candidate will have advanced knowledge of machine learning and predictive modeling techniques. You will be asked to provide an example from your experience leading predictive modeling initiatives. You will need these and other skills to mine large amounts of data and perform data analysis to extract actionable insights for a wide range of topics including internal operations, product development, campaign performance, market dynamics, etc.

This position requires that you have mastery and experience with statistical programming in R and Python. You must be very proficient with Python including Pandas, NumPy and Scikit-learn. In R, you must be comfortable with the tidyverse (dplyr and ggplot2) but also specific libraries for training linear and non-linear models, survival analysis, time series forecasting, etc.

Mastery of SQL programming and relational data extract. Data definition, transformation and preaggregation techniques helpful.

Ability to break down complex business and technical problems into opportunities for analytical study. Particularly, you should have experience with and know when to apply regression analysis, A/B testing, power analysis, anomaly detection, model validation and selection, building of ensemble models, network analysis, simulation, conducting inferential analysis with spatial and time series data, nearest neighbor, deep learning methods, etc.

Experience with data visualization tools (ex: Microsoft PowerBI)

Excellent verbal, written, and presentation skills demonstrating an ability to ""tell a story"", listening and persuasion.

Experience with storage and retrieval of data in NoSQL databases helpful.

Visa sponsorship is not available for this position.

Kudos if you have:

Working knowledge of graph databases.

Experience with Microsoft SQL Server Integration Services (SSIS 2012 and higher).

Experience with geospatial analysis.

Experience with reporting using SalesForce Wave or Einstein Analytics

This is an excellent opportunity and includes a competitive pay and benefits package, including health, dental, vision, disability, and life insurance as well as 401(k) retirement plan with matching company contribution, paid time off, and holidays. No relocation is available.

PatientPoint® is a patient engagement solutions company passionately committed to making every doctor-patient engagement better. By harnessing the power of technology, our omnichannel platform more effectively educates and empowers patients, caregivers and staff to deliver improved health outcomes and an enhanced patient experience. For 30 years, hospitals, health systems, physician offices and sponsoring brands have trusted PatientPoint and its more than 450 team members to provide a uniquely integrated experience across care settings. Learn more at patientpoint.com.

Employer is EOE/M/F/D/V",3.9,"PatientPoint, LLC
3.9","Cincinnati, OH",-1,201 to 500 Employees,1987,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,0,0,80,94,87.0,"PatientPoint, LLC
", OH,0,33,1,0,0,0,1
Data Engineer,"$68K-$113K
(Glassdoor est.)","A Bit about Us

Our organization was founded in 1953 by Louis Spaw and Frank Glass, hence the name SpawGlass. With 10 offices across Texas, the company now has approximately 750 employees statewide and is 100 percent employee-owned with ownership open to all employees. Our DNA is comprised of five core values: Build Trust, Be Professional, Live Teamwork, Be Passionate and Think Like an Owner and our purpose is to provide our clients with the absolute best construction experience.

What Sets Us Apart

We don't just build buildings, we build people, and our core values aren't just stated, they're practiced. We not only want to hire difference makers; we also want to retain them. The average tenure of our team members is 10 years – more than twice the median years of tenure in the construction industry nationwide.

Accountabilities:
Build a growth mindset
Develop and maintain excellent relationships with project team members
Assist with the design and management of the technology stack used for data storage and processing.
Analyze and translate business needs into data deliverables
Design and development of API interfaces with off-site application/software suites.
Creation of dashboards, reports or downstream data feeds from existing applications
Create and manage data models, data flow diagrams, data mappings, and data dictionaries
Develop and manage databases, data pipelines, data warehouses, data marts and data lakes
Identify and reconcile data quality and inconsistency issues
Facilitate data integration and transformation requirements for moving data between applications; ensuring interoperability of applications with database, data warehouse and data mart environments
Work with leadership and information security team to ensure confidentiality, integrity and availability of data and recommending improvements
Minimum Education:

A four year technical degree in computer science, engineering, data science or a related field.

Relevant experience with certifications such as MTA-SQL, MCSA Database Development/DBA/BIDS will also be considered.

Experience Required: 6+ years

IT Technologies Preferred:
Microsoft SQL Server
Microsoft Office Suite
Microsoft SSRS
RDBMS
Knowledge of the following is a plus, but not required:
Programming Languages (.NET, VBA, C#, Python)
Microsoft SSAS
Oracle 9i or later
Microsoft Power BI
NoSQL
Data Management Skills Preferred:

Strong understanding of the following:
Database Administration Principles
T-SQL/PSQL
Data Models/Normalizations
Databases
Data Integration
Data Analytics
Knowledge of the following is a plus:
Cloud Data Architecture
Data Warehouses/Data Marts
ETL/API Integrations
Business Intelligence
Master Data Management
Robotic Process Automation (RPA)
Work Environment:

Corporate office environment

Monday – Friday, 8:00 am – 5:00 pm

SpawGlass is an Equal Opportunity Employer.",4.4,"SpawGlass Construction Corp.
4.4","Houston, TX",-1,501 to 1000 Employees,1953,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance",$500 million to $1 billion (USD),-1,0,0,68,113,90.5,"SpawGlass Construction Corp.
", TX,0,67,1,0,0,0,1
